"X","Bintang","Pengguna","Komen","Tanggal"
303,"Rated 5 stars out of five stars","Anisa Nasera","Everything is good, love it",2019-04-04
304,"Rated 1 stars out of five stars","missy s","bring back my money or deliver my order!",2019-07-11
305,"Rated 5 stars out of five stars","dody hermawan","great product n service",2019-03-30
306,"Rated 5 stars out of five stars","Alexander Susilo","All the BEST",2019-10-22
307,"Rated 5 stars out of five stars","Dari","Everything are great!",2019-05-14
308,"Rated 5 stars out of five stars","Dimas Agung Sugiatma","fresh from the oven",2019-03-10
309,"Rated 5 stars out of five stars","Deni Pribadi","So far so good",2019-10-23
310,"Rated 5 stars out of five stars","Ria Ibrahim","satisfied for the products n delivery",2019-07-18
311,"Rated 5 stars out of five stars","YEFRIDHO RZ","i love this apps.",2019-07-31
312,"Rated 5 stars out of five stars","Roswita Puji Lestari","Sangat memuaskan...fresh...",2019-09-14
313,"Rated 5 stars out of five stars","Euis Setiawati","Keren always fresh",2019-09-24
314,"Rated 5 stars out of five stars","Nindya Ayundha","The best application",2019-08-17
315,"Rated 5 stars out of five stars","Cinda Marhaeni Siahaan","high quality product",2019-06-18
316,"Rated 5 stars out of five stars","Metina Tedjo","ok. kemaren kiriman ok",2019-05-24
317,"Rated 5 stars out of five stars","Pamungkas Digdaya","user interfacenya bagus",2019-07-05
318,"Rated 5 stars out of five stars","Yoga Triwarmen","Good so far, barang seger2",2019-09-12
319,"Rated 5 stars out of five stars","Novi Novitri","Good aplication..Easier our shooping ya",2019-07-01
320,"Rated 4 stars out of five stars","irene christiani tampubolon","more discount please",2019-03-25
321,"Rated 5 stars out of five stars","Liana Dwi Nuryati","I looooooveeeee it",2019-08-18
322,"Rated 4 stars out of five stars","viviana amerit","So far so good",2019-08-22
323,"Rated 5 stars out of five stars","Amira Al Amri","best food app",2019-03-22
324,"Rated 5 stars out of five stars","Sylvana Azwarya","very helpfull bangetttt",2019-06-23
325,"Rated 5 stars out of five stars","tanti Pradessa","The best bgt",2019-07-27
326,"Rated 5 stars out of five stars","Putri Gita","untuk melihat produk di aplikasi sudah cukup jelas tapi yang kurang jelas di aplikasi adalah pd bagian checkout harga, tidak keluar harga per-detailnya, di bagian profil dan chat jg terpotong",2020-03-04
327,"Rated 3 stars out of five stars","sazs p.","Sayur Box mempermudah pembelian sayur2an, buah2an dan barang keperluan dapur lainnya namun akan lebih baik apabila alamat bisa diinput secara manual tanpa menggunakan feature GPS agar mempermudah jasa penghantar dalam menghantar pesanan dan juga mudah bagi user untuk memberikan alamat lengkap. Mudah...
Full Review",2020-03-05
328,"Rated 5 stars out of five stars","arini arini","Luar biasa.. pesanan sampai lebih cepat jam nya dari ekspektasi. Sayuran masih sehar dan murah.. Untuk pengalaman pertama tidak mengecewakan",2020-03-02
329,"Rated 5 stars out of five stars","bella nabila","Hallo sayur box, saya merasa terbantu bgt dengan adanya sayur box. Tp saran saya tlg dong diadain transaksi pembayaran di tempat",2020-02-27
330,"Rated 5 stars out of five stars","Santhy Arga","Sangat membantu belanja sayuran tanpa harus ke pasar",2020-02-29
331,"Rated 5 stars out of five stars","Lubna Ayundia","Kode refferal saya yah ini 3WQ7LMZNE",2020-03-09
332,"Rated 5 stars out of five stars","nita mulyasari","Aplikasi berfungsi dengan baik.",2020-03-05
333,"Rated 4 stars out of five stars","ratna yuniar","Aplikasi yang membantu",2020-03-03
334,"Rated 5 stars out of five stars","earlyna rachmonandes","Pelayanan cepat",2020-02-27
335,"Rated 5 stars out of five stars","Yoniza","helping me so much",2020-03-08
336,"Rated 5 stars out of five stars","sigit wahyu wijayanto","Bagus.",2020-03-02
337,"Rated 4 stars out of five stars","Koriyah Syarma","Bagus ..",2020-02-22
338,"Rated 5 stars out of five stars","Meiriyanti Chandra","Ok",2020-03-02
339,"Rated 5 stars out of five stars","Minda Septiani","Keren",2020-03-06
340,"Rated 4 stars out of five stars","Angela Nguyen","Good",2020-03-02
341,"Rated 5 stars out of five stars","irna ulfah","Good",2020-03-01
342,"Rated 4 stars out of five stars","Desy Huang","Aplikasi yang bagus and make our life more easier 😁😁 But I saw some bugs in this app, pas di order, status ordernya gagal transaksi (padahal lagi diproses), bikin miss leading. Lalu track ordernya juga tidak update, padahal sudah dikirm sayurnya, tapi di aplikasi masih dikemas.",2020-03-04
343,"Rated 3 stars out of five stars","Sri Winda Melati","Ada kode referral tapi berkali2 invalid. Terus kodenya berubah2 terus. Sayang sekali, fitur tsb sangat tidak berguna 😒 Rev: Tadinya ngasih bintang 1 karena kecewa dengan kode referral. Tapi tambahin 2 karena buah dan sayur (bahkan yg imperfect) diterima dalam keadaan segar dan baik. Tetap kecewa de...
Full Review",2020-01-19
344,"Rated 1 stars out of five stars","Winny Firmaninda","Udah berkali-kali belanja akhirnya dapat pengalaman ga enak juga, main closed masalah ga ada solusi, jangan beli barang yang gampang busuk disini kurirnya seenaknya nitip-nitipin ga ada konfirmasi",2020-01-30
345,"Rated 1 stars out of five stars","ravent 2","Kak kenapa ya ini tiap mau click product ny selalu keluar sendiri appnya? Sudah diinstal ulang tp msih begitu. Jadi mengganggu proses memilih",2020-01-18
346,"Rated 5 stars out of five stars","Magda Adriani","Terima kasih Sayurbox. Belanja kebutuhan dapur jadi nyaman dan harga barang juga baik. Semenjak coba, saya sekarang jadi pelanggan tetap 😊 Saran, saya ingin mengembalikan box yang sdh numpuk untuk dimanfaatkan lagi. Apakah Sayurbox bisa ambil?",2020-02-18
347,"Rated 4 stars out of five stars","Muhammad Abdul Aziz","Mempermudah belanja sayur, banyak diskon, pengemasan rapi, customer service ramah dan solutif. Namun untuk pilihan metode pembayaran masih kurang banyak, coba ditambah via dompet digital lainnya dan juga untuk ditambah opsi transfer via bank-bank BUMN..",2020-02-12
348,"Rated 5 stars out of five stars","Martha Esther","baru pertama kali beli di sayurbox. packing rapi, produk fresh, harga juga cukup bersahabat. dan ga perlu repot ke pasar. :)",2020-02-21
349,"Rated 4 stars out of five stars","Rinindah Rasa","Kurir sering datang terlalu cepat, tidak sesuai dengan waktu pengiriman yang saya pilih.",2020-02-03
350,"Rated 1 stars out of five stars","Srnd Jingga","Tolong fix bugsnya, dong.. Sering close sendiri, padahal belum ada semenit buka apps. Huft. Gimana mau beli kalau kyk gtu coba?",2020-02-11
351,"Rated 5 stars out of five stars","Trixie Maximillia","Mantab.. buah trmsk bgs2 , ada brp x jlk tp jrg lah yg jlk, mayoritas okee. hrga & promo byk jg.. smoga makin byk cashback nya. Thx sb.",2020-03-04
352,"Rated 5 stars out of five stars","bernike angel","Salah 1 apps paling membantu dijaman skrg..kualitas Buah dan sayur bagus semua, ditambah free ongkir minimum belanja 100.000",2020-02-23
353,"Rated 1 stars out of five stars","Yanti Yulianti","Aku order minggu kemarin,, dan ada beberapa item yang di refund salah satunya anggur,, tapi voucher dari refund gak ada,,, kecewa sih harga anggurnya lumayan soalnya,,, tolong berikan voucher redund saya,,, aku gak bisa screenshot karena aplikasinya cuma loading aja,,,",2020-02-15
354,"Rated 5 stars out of five stars","arbi rejosumarto","Tidak perlu pusing ke supermarket utk cari buah segar dan lebih lengkap.. Sayurbox dengan segala kemudahan dan promonya sangat membantu...",2020-02-06
355,"Rated 5 stars out of five stars","Diana Day","Mantap udh bbrp kali order... memudahkan mom kaya sy yg males ke pasar....sgt praktis bisa belanja sayuran dan buah sambil beresin setrikaan di rmh dan nonton tv. Barang segar dikirim sampai pintu rmh dgn harga yg relatif murah gak cape nawar.",2020-02-25
356,"Rated 5 stars out of five stars","Novita Farouk","Barang yg datang sesuai dgn deskripsinya... bagus 👍 masukan utk sayur box... utk item sayur, buah, beras, tepung terigu, minyak sayur organik mohon dip'banyak yaa 🙏🏻😊",2020-03-05
357,"Rated 5 stars out of five stars","Vionny Puspita M.Rahman","membantu sekali dengan penawaran beragam kebutuhan dapur, harga okelah karena diperlukan packing, kualitas hingga saat ini memuaskan.",2020-01-24
358,"Rated 5 stars out of five stars","Andara Haris","Selalu puas, alhamdulillah.. Langganan nih, sepekan bisa 1-2x pesan.. Praktis, apalagi kl hujan2 males ke pasar..",2020-01-09
359,"Rated 5 stars out of five stars","Uka SUW","Aplikasi ini membantu belanja ibu2. Pengiriman cepat & kondisi pesanan selalu bagus saat dikirim.",2020-02-18
360,"Rated 5 stars out of five stars","Dewi Pratami","Menyenangkan belanja sayur tidak perlu ribet tinggal klik panen datang Thanks sayur box",2020-01-22
361,"Rated 5 stars out of five stars","Elisabeth Ririn","Saya sangat senang menggunakan sayurbox dan saya akan menggunakannya lagi!",2020-03-04
362,"Rated 4 stars out of five stars","hime azzahra","Bintangnya kurangi ya. Beberapa kali kecewa kualitas produknya ga sebagus dulu.",2020-02-28
363,"Rated 1 stars out of five stars","Irene Setio","memaksa banget untuk di review. aneh aplikasi maksa bgt",2020-03-06
364,"Rated 5 stars out of five stars","Karina Devi Anggraini","memudahkan berbelanja kebutuhan dapur dan terkadang promonya membuat kalap berbelanja",2020-02-13
365,"Rated 5 stars out of five stars","Tommy Drako","Sangat suka. Benar benar membantu. Semoga bukan murah pas promo saja.",2020-01-24
366,"Rated 5 stars out of five stars","ayoe bientang anggarie","gampang aplikasinya, delivery time tepat waktu. proses komplain cepat.",2020-01-29
367,"Rated 1 stars out of five stars","Ria riaan","Kenapa tiap dibuka langsung close lagi ya app nya?",2020-02-10
368,"Rated 5 stars out of five stars","Yanie Mamoera","Keep improve yaaaah.. setelah pernah kecewa sekali sekarang happy dengan servicenya.. Thank you",2020-02-18
369,"Rated 5 stars out of five stars","A Google user","Pesanan sesuai dan pengiriman tepat waktu malah kadang kecepatan 😃👍🏼👍🏼",2020-03-01
370,"Rated 4 stars out of five stars","Listiyana Riska","sangat membantu ibu2..saran ditambah opsi pembayarannya plis",2020-02-29
371,"Rated 1 stars out of five stars","Billy Putra","Tidak ada di Surabaya, Malang, Yogya, Denpasar, dll. Terus gunanya apa?",2020-03-05
372,"Rated 4 stars out of five stars","Hani Nabila","Very helpfull. Tapi terkadang tidak bisa dilacak ketika sedang pengirimiman..",2020-02-27
373,"Rated 3 stars out of five stars","Wibisono Yusup","tidak change alamat? alamat di map tidak akurat",2020-02-27
374,"Rated 5 stars out of five stars","Renny Anggraeni","Ga perlu ke supermarket lagi 😁",2020-03-04
375,"Rated 5 stars out of five stars","Morris Gunawan","Ikan segar dan harga terjangkau..",2020-02-28
376,"Rated 5 stars out of five stars","Dyah Asih Mardiati","suka sama buah segarnya",2020-01-30
377,"Rated 4 stars out of five stars","Catharina Wied","Sering2 diskon ongkir ya",2020-02-03
378,"Rated 5 stars out of five stars","Marianti PaLma","Buah nya bagus2 mantapss",2020-03-11
379,"Rated 4 stars out of five stars","Veronika Nisya","Masih kurang banyak buah2annyaa..",2020-02-14
380,"Rated 5 stars out of five stars","Tony Computer","Tetap jaya sayurbox !!!",2020-01-17
381,"Rated 5 stars out of five stars","Khairuz Zaky","Sayur langsung dari petani..",2020-03-05
382,"Rated 1 stars out of five stars","Cecep Gandawesi","aplikasi jabodetabek.... malas... bandung gak bisa pesan",2020-03-08
383,"Rated 5 stars out of five stars","Novel DevLover","The best lah, memudahkan, fresh lagi sayur n buahnya..",2020-02-18
384,"Rated 5 stars out of five stars","juni rita","Kesan pertama , sempurna..",2020-02-06
385,"Rated 5 stars out of five stars","D. Darmawan Amandi Sastra","Memudahkan yang susah",2020-02-23
386,"Rated 5 stars out of five stars","rizki amelia","User experience yang menarik dengan tampilan yang ga membosankan",2020-03-03
387,"Rated 5 stars out of five stars","Nafidah","Sangat membantu 🥰🥰",2020-03-03
388,"Rated 5 stars out of five stars","febrina pandiangan","Friendly app 😍😍😍",2020-01-22
389,"Rated 5 stars out of five stars","Jona PoWi","Nice app!",2020-02-16
390,"Rated 5 stars out of five stars","moxea007 gmail","Ok.",2020-01-21
391,"Rated 5 stars out of five stars","christy indah","Kece",2020-01-31
392,"Rated 5 stars out of five stars","Linda Siregar","Memuaskan",2020-02-01
393,"Rated 5 stars out of five stars","Galuh Wirama","Puas",2020-02-10
394,"Rated 5 stars out of five stars","sya sya","Greaatttttt",2020-02-23
395,"Rated 5 stars out of five stars","Tjek Jen","Responsive",2020-02-21
396,"Rated 5 stars out of five stars","yuni paramita hutajulu","Mantappppppopp",2020-03-08
397,"Rated 5 stars out of five stars","ZIZUNA IS ME","Ok",2020-03-06
398,"Rated 5 stars out of five stars","Rent Lauren","gooddd",2020-03-07
399,"Rated 5 stars out of five stars","zid fam","Good services 👍",2020-02-04
400,"Rated 5 stars out of five stars","yuda putri","Good quality.",2020-02-16
401,"Rated 5 stars out of five stars","Janelle Peralta","Nice app😊",2020-02-12
402,"Rated 4 stars out of five stars","Eka Hardi","Good product",2020-02-03
403,"Rated 5 stars out of five stars","Dwinanto Prayoga","Top mrkotop",2020-02-05
404,"Rated 5 stars out of five stars","alek alek","User friendly",2020-02-07
405,"Rated 5 stars out of five stars","Riki Nindya Ananda","Very helpfull",2020-02-19
406,"Rated 5 stars out of five stars","Cholis ardiansyah","excellent service",2020-02-17
407,"Rated 5 stars out of five stars","iva rahayu","Great app",2020-02-22
408,"Rated 5 stars out of five stars","kristine ekwinatama","Awesome!!!!",2020-01-29
409,"Rated 5 stars out of five stars","Miko Warsito","Good",2020-01-07
410,"Rated 5 stars out of five stars","BUDI PRAMANA","good",2020-01-28
411,"Rated 5 stars out of five stars","susan indah","Good",2020-02-02
412,"Rated 5 stars out of five stars","Edward Siallagan","Nice",2020-02-05
413,"Rated 5 stars out of five stars","boby arman","Awesome",2020-02-05
414,"Rated 5 stars out of five stars","Hasim Hasim","Excellent",2020-02-07
415,"Rated 5 stars out of five stars","Gaby Mikhael","Great",2020-03-05
416,"Rated 5 stars out of five stars","Siti Sarah","Great",2020-03-02
417,"Rated 5 stars out of five stars","Jeanifer Adrianto","Belanja sayur dan buah serta kebutuhan lain yang lengkap dg harga yg reasonable juga kualitas yg baik menjadi mudah dg adanya sayur box. Mudah lagi menggunakan applikasinya dan pengiriman pun slalu on time. Sejak pake sayur box, mau mkn sehat jd lbh murah dan mudah",2020-01-14
418,"Rated 5 stars out of five stars","Lucia Editha","Baru pertama kali coba sayurbox karena liat story temen, langsung rekomendasiin ke mama dan mama bilang coba beli. Begitu dateng sayurnya fresh, mama suka dan mikir beli sayur di sayurbox aja karena harga mirip-mirip dan lebih gampang lihat sayur tersedia atau ga. Sayur juga tidak dibungkus plastik,...
Full Review",2020-01-14
419,"Rated 5 stars out of five stars","christabel fernanda","Suka banget ada pilihan mau pakai plastik atau engga, mungkin bagi beberapa orang itu hal kecil.. Tapi menurut aku itu keren banget apalagi sekarang udah mulai banyak gerakan zero waste kan and it helps me to reduce plastic use.",2019-12-08
420,"Rated 5 stars out of five stars","Diana Andarini","produknya bagus2, variasinya banyak ga cuma sayur, ada pilihan organik dan hidroponik. favorit saya telor ayam kampung eggcelent. bisa milih tanggal dan waktu pengiriman, fitur chat customer service fast response dan ramah2. saran utk konfirmasi pembayaran transfer bca dipercepat prosesnya. terima k...
Full Review",2019-12-18
421,"Rated 2 stars out of five stars","Nadya Meirisa","Cukup ngebantu kalau males beli keluar, tapi kekurangannya ya jadi ga bisa seleksi kualitas sendiri, contoh, pernah dapet ada beberapa salak yang busuk. Yang bikin ilfeel, akhir-akhir ini pesanan aku suka salah kirim, yang dipesen apa, yang dikirim apa, bukannya praktis malah jadi ribet mesti email ...
Full Review",2020-01-26
422,"Rated 5 stars out of five stars","tin tin","Pertama kali order. Dapat sesi 2 antara jam 5 sore Ke malam... Jam 3 an sudah di antar 👍cuma karena saya tidak di rumah yg terima barang tidak kasih tip. Maaf ya. Barangnya sangat oke segar semua. Cuma kok saya tidak dapat surprise buah yg untuk pelanggan baru ya atau promonya sudah habis? Overall ...
Full Review",2019-12-10
423,"Rated 5 stars out of five stars","Thaliza Gaby","Memudahkan orang yang malas seperti saya ini hanya saja masih banyak yang perlu diperbaiki ya, masa pesan bayam 2x ga ada terus dan variannya tolong ditambah.",2019-12-10
424,"Rated 1 stars out of five stars","WISNU WARDHANA","DUA KALI SALAH KIRIM. PERTAMA PESEN BABY ROMAINE DIKIRIM YANG LAIN. RESPON CS LAMBAT. KEDUA KALI PESEN BABY ROMAINE 3 KG, DIKIRIM CUMA 3 PLASTIK TIMBANGAN (800 GRAM). RESPON BURUK SEKALI GADA SOLUSI. BUAT YANG MAU INSTALL PIKIR DUA KALI DARIPADA RIBET KOMPLAIN.",2020-01-07
425,"Rated 5 stars out of five stars","NettyCoa Laulyvervel","Pelayanan sangat memuaskan. Buah/sayur umumnya bagus, kadang kejadian aja rada kurang. Pengiriman selalu sampai dengan selamat. Pernah kejadian bayam kosong, trus ada keterangan dan dibalikin bentuk voucher untuk belanja berikut 👍😀",2020-01-17
426,"Rated 2 stars out of five stars","Dwi Agustina","Sedih deh pengiriman ke Kabupaten Bekasi belum bisa 😭😭 Pilihan ke kabupaten bekasi nggak ada kak..... Coba cek deh. Udah dari brp bulan yg lalu juga ga ada. Coba yg bekasi tp ternyata cuma kota aja. Tambun ga ada",2019-12-16
427,"Rated 1 stars out of five stars","febiola meisy","Hai, saya mau tanya order saya dengan nomor PG-P8JZ30JNDNM dengan tanggal pengiriman Minggu, 22 Desember 2019. Lemon saya kenapa tidak dikirim? Tolong respon dong. Saya pesan 1 jenis pisang malah dikirim 2 jenis. Saya perlu lemon bukan pisang. Tolong merespon. Saya sngat kecewa",2019-12-25
428,"Rated 5 stars out of five stars","Tesalonika Ginting","Sering bgt mager beli buah dan sayur 1. Ga ngerti bgt mana bagus mana engga 2. Pasar jauh 3. Ga ngerti harga jadi gatau udah belanja pinter atau engga 4. Bingung dan gatau mau diolah jd apa Sejak pake sayurbox, belnja jd gampanh, panduan banyak, pilihan banyak, dan udah pasti belanja pinter. Cheeerr...
Full Review",2020-01-11
429,"Rated 4 stars out of five stars","Nena Delvina","Referral Code: 88GP5KTWM App ini berguna banget buat aku yg rumahnya jauh dari mana2. Dan kalau weekend bener2 sibuk ga sempet belanja mingguan, langsung klik klik klik bayar done! Pls perbanyak promonya yah. Emak2 suka diskonan! 😂",2019-12-06
430,"Rated 5 stars out of five stars","Felicia Luo","Pada saat saya ingin mengisi alamat, tetapi tidak ada pilihan untuk kota jakarta timur... Mohon agar di lakukan pengecekan sistem nya.. terima kasih..",2020-01-14
431,"Rated 5 stars out of five stars","Neneng Rachmalia Feta","Buah yang dikirim masih seger2 dan kualitas nya sangat baik, packing juga rapi, pengiriman sesuai pesanan gak telat, rekomen bgt deh.",2019-12-10
432,"Rated 5 stars out of five stars","tijan baba","Mantap buah nya segar"". Dan yang saya suka bisa memilih wktu kapan akan dikrim. Ini penting bagi saya yang jarang di rumah 🤙",2019-12-24
433,"Rated 5 stars out of five stars","Dian Aswinda","Suka sekali belanja disini. App nya mudah digunakan, harga barang juga murah..banyak promo juga..nikmatnya groceries shopping without living home",2020-02-01
434,"Rated 5 stars out of five stars","Nancy Sihombing","Aplikasi nya bagus dan nolong banget buat ibu2 kaya saya. Produk nya oun seger2, sudah belanja berkali2 dan selalu puas",2019-12-06
435,"Rated 4 stars out of five stars","ampmcomunication","Bagus n cepet. Cuma dapet bbrp buah ada yg busuk oleh ulat dalem nya. Mudsh2n ke depan nya banyak diskon. Hehe",2020-01-21
436,"Rated 5 stars out of five stars","Pradita Cynthia Sari","Pertahankan semuanya ya, dari mulai mudahnya penggunaan aplikasi sampai ke kualitas buah dan sayurannya. Terima kasih semuanyaa.",2020-02-02
437,"Rated 5 stars out of five stars","Shabrina Annisarasyiq","Belanja jadi gampang banget. Dan buah sayurnya masih seger. Bisa milih kemasan tanpa plastik lagi. Thanks Sayurbox ♥️",2019-12-28
438,"Rated 5 stars out of five stars","Syarifah Zuhra Fadyl","Alhamdulillah membantu IRT banget jd ga perlu keluar rumah dan produksi sayur nya ok kesegarannya.",2019-12-02
439,"Rated 5 stars out of five stars","annissa endah","Nice. Sangat membantu dikala ibu tak sempat berbelanja ke pasar. ini jd salah satu alternatif yg sangat membantu sekali.",2019-12-13
440,"Rated 5 stars out of five stars","Nia Tan","Aplikasi yg sangat membantu. Ga perlu capek belanja diluar rmh 😆. Produknya segar dan packing rapi bgt.",2019-12-19
441,"Rated 3 stars out of five stars","Claudia Silalahi","Hallo.. Aku br download. Aku klik item nya, ko malah keluar ya? Ga bs d klik atau gmn ya?",2020-01-05
442,"Rated 5 stars out of five stars","Muhammad Baihaki","Saya memesan buah naga, bawang bombay, brokoli, kentang, jamur champignon, keju mozarella, tepung bumbu & Sari roti. Sayang Sari rotinya direfund jadi voucher yg bisa dipakai di pesanan berikutnya. Agak kecewa tapi puas karena semua produk dikirim dalam kondisi segar. Yang paling keren packing keju ...
Full Review",2019-12-29
443,"Rated 5 stars out of five stars","Verdynand","Selalu beli sayur disini,selalu segar dan kondisi baik dengan harga yg masuk akal",2020-01-06
444,"Rated 5 stars out of five stars","Lia Setiani","Awalnya ragu, tapi seneng banget waktu sayurnya sampai tepat waktu kemudian sayurnya smuanya segar dan bagus bagus.",2020-01-24
445,"Rated 2 stars out of five stars","PaolloXevoMusic","Kenapa hanya ada di wilayah jakarta, padahal wilayah lain juga butuh seperti saya surabaya contohnya",2019-12-03
446,"Rated 5 stars out of five stars","Novianty Ten","Apps yg sangat membantu utk belanja buah / sayuran segar, hanya dgn menggerakkan jari",2019-12-27
447,"Rated 2 stars out of five stars","Hanz Dumbledor","Salak separo busuk, Order barang promo bbrp macem tp ga dikirim, pas di cek keterangannya infonya habis dan direfund jd voucher, curiga ga bener promo murahnya masa iya semua habis padahal order pas baru dpt notif, kalau habis knp ga bikin stock out biar ga bs diorder? Emg direfund ttp aja itunganny...
Full Review",2019-12-07
448,"Rated 5 stars out of five stars","Eka YS","Aplikasinya mudah digunakan. Pengiriman barang juga on time. Memudahkan belanja barang yang bagus dg harga murah",2019-12-27
449,"Rated 5 stars out of five stars","Nana Jasmine","Sangat membantuku, semua blnjaan kuterima dg kondisi baik, hemat waktu dan tenaga thankyou sayurbox",2020-01-03
450,"Rated 1 stars out of five stars","yuani fitri","Aplikasinya ok, tapi pelayanan untuk komplain buruk sekali! 3 kali pemesanan, 2x kecewa. Komplain di aplikasi sama sekali tidak ditanggapi. Yang terakhir pesan banyak, beberapa buah yang dikirim busuk, rujak jamuran banyak sekali! Akhirnya dm di IG sayurbox, baru ditanggapi beberapa hari kemudian, k...
Full Review",2019-12-28
451,"Rated 5 stars out of five stars","Husnia Amri","Aku orangnya mageran, makanya beli lewat sini, walay kadang tiap harinya stoknya beda""",2020-01-17
452,"Rated 4 stars out of five stars","Icha Myrza","Ngga bisa punya beberapa alamat. Kalo mau kirim buat ortu jd ribet",2019-12-16
453,"Rated 1 stars out of five stars","revelin yuanita","Belanja sayur dan buah secara online yg sangat tidak menyenangkan. Mending kalo mw belanja dsni via tokped aj, kalo timbanganny kurang atau kondisiny buruk bisa minta ganti ato dkirim kekuranganny, secara pembayaran masih dtahan dari sistem tokped. Tp kalo langsung di aplikasi ini g bisa gitu, padah...
Full Review",2019-12-16
454,"Rated 5 stars out of five stars","Devy Novita","Mantaaapp puas belanja sayur tanpa ribet. Semoga makin banyak variant yg dijualnya.",2019-11-30
455,"Rated 5 stars out of five stars","Na Bila","By far ini adalah app termudah dan teruseful untuk pengiriman makanan.",2020-01-08
456,"Rated 1 stars out of five stars","Aulia Rahmani","Pemesanan terparah di sayurbox. Saya pesan hari senin buat dikirim hari rabu. Yiba tiba pesanan saya sudah delivered padahal barang belum diterima. Sekalinya nanya lewat chat katanya saya ga bisa dihubungin, padahal ga ada history telp dari nomer ga dikenal 😅. Akhirnya admin bilang mau dikirim hari...
Full Review",2020-02-06
457,"Rated 2 stars out of five stars","Dina Millysaphira","Sayangnya aplikasi ini hanya tersedia untuk wilayah pengiriman jabodetabek, belum tersedia untuk wilayah lainnya",2019-12-10
458,"Rated 5 stars out of five stars","Diah Rahmawati","Keren, memudahkan ibu2 kerja yang harus masak pagi tiap hari.",2019-12-01
459,"Rated 2 stars out of five stars","Rahmawati Sikumbang","Aplikasinya sangat berguna. Tapi kalau loading kenapa selalu lama, ya..",2020-01-22
460,"Rated 1 stars out of five stars","Tasha Natalia","Tidak bisa daftar karena tidak terima kode verifikasi di email.",2020-01-30
461,"Rated 5 stars out of five stars","Rina Melati","Pesan jumat, buah alpukat di terima hari sabtu, senin sdh matang, tks",2019-12-16
462,"Rated 5 stars out of five stars","Eva Andriani","Aplikasinya mudah digunakan, admin juga responsif. Belanja sayur jadi mudah",2020-01-09
463,"Rated 5 stars out of five stars","Dellynda Aryani Aswadi","Memudahkan ibu pekerja untuk berbelanja sayuran segar setiap harinya",2019-12-30
464,"Rated 5 stars out of five stars","andi GMM","Pesan sayur dan juga ada udangnya, semua tiba sesuai jadwal dan masih fresh, TOP",2019-12-16
465,"Rated 2 stars out of five stars","Rizkia Nur Rofiqoh","Sering ketutup sendiri aplikasinya. Padahal butuh bgt belanja",2019-12-20
466,"Rated 5 stars out of five stars","Laura Calvarina","Sangat menolong ketika cari sayur dan buah organik",2020-03-02
467,"Rated 5 stars out of five stars","firman ramadhani","Mantab, serasa pasar yg dateng ke rumah hahaha",2019-12-10
468,"Rated 2 stars out of five stars","Lidya Natalia","makin lama, kualitas sayur dan buahnya semakin jelek",2019-12-24
469,"Rated 5 stars out of five stars","dian mutiara","Sangat memudahkan dan kualitas buah ny ok",2019-12-30
470,"Rated 5 stars out of five stars","Angel Lukman","Sangat membantu aku sebagai ibu rumah tangga",2020-01-14
471,"Rated 5 stars out of five stars","Dian Dwi Putri","Senang bisa belanja di sini, sayur2nya segar2",2020-01-03
472,"Rated 5 stars out of five stars","Benny Rinaldi","Buah di terima dalam kondisi layak dan bagus..",2020-01-27
473,"Rated 5 stars out of five stars","Aiva Edwards","Suka banget belanja di sayurbox. Mudah dan cepat.",2020-01-03
474,"Rated 5 stars out of five stars","Anisa Dwijayanti","Beli sayur dan buah jadi mudah",2019-12-18
475,"Rated 1 stars out of five stars","Kunto","Stiap mau order aplikasi balik lg",2020-01-04
476,"Rated 5 stars out of five stars","endang sulistyowati","Aplikasi bagus dan mudah digunakan. Pelayanan bagus.",2019-12-01
477,"Rated 5 stars out of five stars","mami mimi","Sayurnya segar segar , dan cepat pelayanannya",2019-12-03
478,"Rated 5 stars out of five stars","diah anggraini","mempermudah sekali belanja sayur2 organik",2019-12-04
479,"Rated 5 stars out of five stars","Dwini M Rispiandayu","Sayur dan buahnya selalu berkualitas",2020-01-11
480,"Rated 5 stars out of five stars","HiFaNaFas Journey","Great.. app nya mudah dan jelas, sayurannya segar dan pengiriman on time",2020-01-14
481,"Rated 5 stars out of five stars","Tiar Laksana","Praktis! Memesan sayur,buah, dll tinggal klik, buy, kirim!",2020-02-21
482,"Rated 5 stars out of five stars","esa wahyudi","Keren, membuat hidup lebih mudah.",2020-01-28
483,"Rated 5 stars out of five stars","Robert Santoso","Pelayanan n produk memuaskan.",2019-12-13
484,"Rated 5 stars out of five stars","Alvi Juandi","Tepat waktu, barang berkualitas",2020-01-30
485,"Rated 5 stars out of five stars","Fera alex s","Luar biasa. Bermanfaat banget aplikasi ini...",2020-01-04
486,"Rated 5 stars out of five stars","Nafisah Sungkar","Sayur box sangat membantu👍",2019-12-24
487,"Rated 5 stars out of five stars","Hendri Wong","Ok bgt buat belanja",2019-12-05
488,"Rated 5 stars out of five stars","Kartika Febiyanti","Sangat membantu dalam berbelanja",2020-01-13
489,"Rated 1 stars out of five stars","Dear","Daerah pengiriman hanya jabodetabek",2020-01-15
490,"Rated 5 stars out of five stars","Taufan Aria","Murah dan baik semuanya",2020-01-23
